iter	Passed	Remaining
399	41630	62446
400	41722	62323
401	41813	62199
402	41904	62077
403	41998	61958
404	42092	61839
405	42184	61717
406	42275	61595
407	42368	61476
408	42467	61365
409	42560	61245
410	42655	61129
411	42751	61014
412	42846	60897
413	42946	60789
414	43047	60681
415	43146	60570
416	43247	60462
417	43334	60337
418	43420	60208
419	43517	60095
420	43605	59970
421	43691	59842
422	43782	59722
423	43867	59594
424	43954	59468
425	44047	59350
426	44141	59235
427	44229	59110
428	44314	58982
429	44399	58854
430	44500	58748
431	44595	58634
432	44685	58514
433	44782	58403
434	44882	58295
435	44985	58191
436	45087	58087
437	45186	57979
438	45286	57872
439	45380	57756
440	45473	57641
441	45571	57531
442	45664	57415
443	45762	57306
444	45856	57191
445	45949	57076
446	46041	56959
